Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
12/19/2004,2004,0,0,0,0
12/20/2004,2004,0,0,0,0
12/21/2004,2004,0,0,0,0
12/22/2004,2004,0,0,0,0
12/23/2004,2004,0,0,0,0
12/24/2004,2004,0,0,0,0
12/25/2004,2004,0,0,0,0
12/26/2004,2004,0,0,0,0
12/27/2004,2004,0,0,0,0
12/28/2004,2004,0,0,0,0
12/29/2004,2004,0,0,0,0
12/30/2004,2004,0,0,0,0
12/31/2004,2004,0,0,0,0
1/1/2005,2005,0,0,0,0
1/2/2005,2005,0,0,0,0
1/3/2005,2005,0,0,0,0
1/4/2005,2005,0,0,0,0
1/5/2005,2005,0,0,0,0
1/6/2005,2005,0,0,0,0
1/7/2005,2005,0,0,0,0
1/8/2005,2005,0,0,0,0
1/9/2005,2005,0,0,0,0
1/10/2005,2005,0,0,0,0
1/11/2005,2005,0,0,0,0
1/12/2005,2005,0,0,0,0
1/13/2005,2005,0,0,0,0
1/14/2005,2005,0,0,0,0
1/15/2005,2005,0,0,0,0
1/16/2005,2005,0,0,0,0
1/17/2005,2005,0,0,0,0
1/18/2005,2005,0,0,0,0
1/19/2005,2005,0,0,0,0
1/20/2005,2005,0,0,0,0
1/21/2005,2005,0,0,0,0
1/22/2005,2005,0,0,0,0
1/23/2005,2005,0,0,0,0
1/24/2005,2005,0,0,0,0
1/25/2005,2005,0,0,0,0
1/26/2005,2005,0,0,0,0
1/27/2005,2005,0,0,0,0
1/28/2005,2005,0,0,0,0
1/29/2005,2005,0,0,0,0
1/30/2005,2005,0,0,0,0
1/31/2005,2005,0,0,0,0
2/1/2005,2005,0,0,0,0
2/2/2005,2005,0,0,0,0
2/3/2005,2005,0,0,0,0
2/4/2005,2005,0,0,0,0
2/5/2005,2005,0,0,0,0
2/6/2005,2005,0,0,0,0
2/7/2005,2005,0,0,0,0
2/8/2005,2005,0,0,0,0
2/9/2005,2005,0,0,0,0
2/10/2005,2005,0,0,0,0
2/11/2005,2005,0,0,0,0
2/12/2005,2005,0,0,0,0
2/13/2005,2005,0,0,0,0
2/14/2005,2005,0,0,0,0
2/15/2005,2005,0,0,0,0
2/16/2005,2005,0,0,0,0
2/17/2005,2005,0,0,0,0
2/18/2005,2005,0,0,0,0
2/19/2005,2005,0,0,0,0
2/20/2005,2005,0,0,0,0
2/21/2005,2005,0,0,0,0
2/22/2005,2005,0,0,0,0
2/23/2005,2005,0,0,0,0
2/24/2005,2005,0,0,0,0
2/25/2005,2005,0,0,0,0
2/26/2005,2005,0,0,0,0
2/27/2005,2005,0,0,0,0
2/28/2005,2005,0,0,0,0
3/1/2005,2005,0,0,0,0
3/2/2005,2005,0,0,0,0
3/3/2005,2005,0,0,0,0
3/4/2005,2005,0,0,0,0
3/5/2005,2005,0,0,0,0
3/6/2005,2005,0,0,0,0
3/7/2005,2005,0,0,0,0
3/8/2005,2005,0,0,0,0
3/9/2005,2005,0,0,0,0
3/10/2005,2005,0,0,0,0
3/11/2005,2005,0,0,0,0
3/12/2005,2005,0,0,0,0
3/13/2005,2005,0,0,0,0
3/14/2005,2005,26,0,0,0
3/15/2005,2005,0,0,0,0
